system,system_name,achievement_met,achievement_eligible,value_added_met,value_added_eligible,BB_reduction_met,BB_reduction_eligible,met_achievement_goal,met_value_added_goal,met_BB_reduction_goal,met_minimum_performance_goal
721.0,Dayton City,1,2,2,2,0,2,TRUE,TRUE,FALSE,FALSE
730.0,Roane County,3,3,1,3,3,3,TRUE,TRUE,TRUE,TRUE
740.0,Robertson County,3,3,2,3,2,3,TRUE,TRUE,TRUE,TRUE
750.0,Rutherford County,2,3,1,3,2,3,TRUE,TRUE,TRUE,TRUE
751.0,Murfreesboro City,0,2,0,2,0,2,FALSE,FALSE,FALSE,FALSE
760.0,Scott County,3,3,0,3,2,3,TRUE,FALSE,TRUE,FALSE
761.0,Oneida Special School District,3,3,2,3,2,3,TRUE,TRUE,TRUE,TRUE
770.0,Sequatchie County,3,3,1,3,3,3,TRUE,TRUE,TRUE,TRUE
780.0,Sevier County,3,3,1,3,2,3,TRUE,TRUE,TRUE,TRUE
792.0,Shelby County,3,3,3,3,3,3,TRUE,TRUE,TRUE,TRUE
793.0,Arlington City,3,3,1,3,3,3,TRUE,TRUE,TRUE,TRUE
794.0,Bartlett City,3,3,1,3,3,3,TRUE,TRUE,TRUE,TRUE
795.0,Collierville City,3,3,2,3,2,3,TRUE,TRUE,TRUE,TRUE
796.0,Germantown City,2,3,2,3,2,3,TRUE,TRUE,TRUE,TRUE
797.0,Lakeland City,1,1,1,1,1,1,TRUE,TRUE,TRUE,TRUE
798.0,Millington City,1,3,2,3,2,3,TRUE,TRUE,TRUE,TRUE
800.0,Smith County,2,3,0,3,2,3,TRUE,FALSE,TRUE,FALSE
810.0,Stewart County,3,3,1,3,3,3,TRUE,TRUE,TRUE,TRUE
820.0,Sullivan County,2,3,0,3,2,3,TRUE,FALSE,TRUE,FALSE
821.0,Bristol City,3,3,1,3,3,3,TRUE,TRUE,TRUE,TRUE
822.0,Kingsport City,2,3,2,3,1,3,TRUE,TRUE,TRUE,TRUE
830.0,Sumner County,3,3,3,3,3,3,TRUE,TRUE,TRUE,TRUE
840.0,Tipton County,3,3,3,3,3,3,TRUE,TRUE,TRUE,TRUE
850.0,Trousdale County,2,3,3,3,2,3,TRUE,TRUE,TRUE,TRUE
860.0,Unicoi County,2,3,0,3,2,3,TRUE,FALSE,TRUE,FALSE
870.0,Union County,3,3,3,3,3,3,TRUE,TRUE,TRUE,TRUE
880.0,Van Buren County,3,3,2,3,2,3,TRUE,TRUE,TRUE,TRUE
890.0,Warren County,3,3,2,3,3,3,TRUE,TRUE,TRUE,TRUE
900.0,Washington County,2,3,0,3,3,3,TRUE,FALSE,TRUE,FALSE
901.0,Johnson City,3,3,3,3,3,3,TRUE,TRUE,TRUE,TRUE
910.0,Wayne County,1,3,2,3,1,3,TRUE,TRUE,TRUE,TRUE
920.0,Weakley County,1,3,0,3,2,3,TRUE,FALSE,TRUE,FALSE
930.0,White County,3,3,2,3,3,3,TRUE,TRUE,TRUE,TRUE
940.0,Williamson County,2,3,2,3,1,3,TRUE,TRUE,TRUE,TRUE
941.0,Franklin Special School District,2,2,1,2,1,2,TRUE,TRUE,TRUE,TRUE
950.0,Wilson County,2,3,2,3,2,3,TRUE,TRUE,TRUE,TRUE
951.0,Lebanon Special School District,1,2,0,2,2,2,TRUE,FALSE,TRUE,FALSE
960.0,West Tenn School for Deaf,0,0,0,2,0,0,,FALSE,,FALSE
961.0,Alvin C. York Institute,1,1,1,1,1,1,TRUE,TRUE,TRUE,TRUE
963.0,Tenn School for Blind,1,1,0,3,1,1,TRUE,FALSE,TRUE,FALSE
964.0,Tenn School for Deaf,1,1,0,3,1,1,TRUE,FALSE,TRUE,FALSE
970.0,Department of Children's Services,1,1,0,1,1,1,TRUE,FALSE,TRUE,FALSE
985.0,Achievement School District,1,3,2,3,2,3,TRUE,TRUE,TRUE,TRUE
